Keywrd Phrase Txt,N,SumSearches,ReSearchPercent,SearchBounceRate
extra wide curtain panel,4,62,0.0967741935483871,0.016129032258064516
NAUTICAL ART,5,78,0.16666666666666666,0.0641025641025641
womens slippers,21,416,0.15865384615384615,0.040865384615384616
inflateable bouncers,7,166,0.1686746987951807,0.09036144578313253
pillow top mattress pad,4,77,0.14285714285714285,0.09090909090909091
plastic rug,10,156,0.14102564102564102,0.0641025641025641
bath sheets,27,579,0.12435233160621761,0.05872193436960276
dove body wash,1,78,0.0641025641025641,0
twin size mattress,17,297,0.16161616161616163,0.11447811447811448
beads,34,1927,0.09237156201349248,0.040477426050856254
twin xl sheets cotton,1,57,0.05263157894736842,0
ruggable 8x10,7,156,0.07692307692307693,0.057692307692307696
plastic plates,5,168,0.10119047619047619,0.047619047619047616
isabella lounge chair,1,84,0.047619047619047616,0
easel,8,134,0.23134328358208955,0.05223880597014925
wicker outdoor furniture,57,1168,0.17294520547945205,0.12585616438356165
trunks,24,422,0.2014218009478673,0.09004739336492891
outdoor loveseat cushion,9,134,0.14925373134328357,0.1044776119402985
large sofa pillows,1,54,0.018518518518518517,0
cuckoo,4,81,0.2222222222222222,0.13580246913580246
mirrored dresser,50,1013,0.20533070088845015,0.17670286278381048
mirrored night stand,5,91,0.13186813186813187,0.04395604395604396
gray patio set,1,68,0.10294117647058823,0
white duvet,21,575,0.13043478260869565,0.05391304347826087
jewelry boxes,23,493,0.08924949290060852,0.038539553752535496
women's polarized sunglasses,6,116,0.12931034482758622,0.034482758620689655
teal,55,1177,0.3500424808836024,0.08156329651656755
gray grey curtains,1,56,0.05357142857142857,0
pots and pans,53,1690,0.20355029585798817,0.1165680473372781
distressed area rug,7,160,0.18125,0.01875
vinyl plank flooring,12,170,0.1411764705882353,0.16470588235294117
